Week,Population,ID,Treatment,Conductance,Chlorophyll,Alpha,ETRmax,Ek,NPQmax,Fv/Fm,Phase
3,Koko,K39A,PD,639.4,38.1,0.166,135.033,813.548,1.345,0.643,Treatment
3,Koko,K40A,PD,619.1,31.4,0.158,206.931,1307.999,1.043,0.678,Treatment
3,Koko,K41A,PD,721.4,27,0.177,138.138,780.756,1.023,0.672,Treatment
3,Koko,K42A,PD,623.4,24.1,0.166,151.632,915.962,1,0.59,Treatment
3,Koko,K43A,PD,683.6,30.5,0.173,154.79,896.26,0.762,0.721,Treatment
3,Koko,K44A,PD,719,36.3,0.196,196.747,1003.01,0.92,0.715,Treatment
3,Koko,K45A,PD,577.8,29.7,0.183,75.113,410.253,0.255,0.639,Treatment
3,Koko,K46A,PD,788.4,34.2,0.189,137.507,728.526,1.598,0.731,Treatment
3,Koko,K47A,PD,853.4,32,0.202,117.474,0.731,0.548,0.74,Treatment
3,Koko,K48A,PD,903.5,31.8,0.174,191.157,1097.441,0.988,0.632,Treatment
4,Koko,K13A,C,693.9,30.3,0.201,253.53,1174.44,0.796,0.659,Treatment
4,Koko,K14A,C,692.4,24.5,0.194,172.274,885.784,1.422,0.684,Treatment
4,Koko,K15A,C,386.1,18.2,0.174,146.7,843.811,1.443,0.572,Treatment
